city,home_sum,home_won,away_won
Issy-les-Moulineaux,3.0,1.0,1.0
Santander,13.0,6.0,1.0
Antibes,0.0,0.0,1.0
Libreville,263.0,113.5,66.5
Enugu,3.0,2.0,0.0
Montpellier,20.0,8.5,3.5
Dunajská Streda,2.0,0.5,0.5
Brzeszcze,1.0,0.5,0.5
Avignon,2.0,0.5,1.5
Chiang Mai,25.0,8.0,3.0
Šibenik,2.0,0.5,0.5
Tianjin,23.0,7.5,3.5
Jinan,18.0,5.0,4.0
Saint-Nazaire,0.0,0.0,1.0
Corbeil-Essonnes,2.0,0.0,2.0
Rostov-on-Don,13.0,3.5,3.5
Al Ram,4.0,2.5,1.5
Frankfurt,6.0,1.0,0.0
Fort-de-France,230.0,71.5,48.5
Almaty,65.0,19.5,25.5
Ulsan,20.0,8.0,3.0
Mission Viejo,16.0,3.0,1.0
Cuenca,13.0,5.5,3.5
Toulon,2.0,1.0,3.0
Jericho,0.0,0.5,0.5
Ancona,4.0,2.5,0.5
Abha,11.0,3.0,0.0
Wuhan,23.0,10.5,4.5
Scarborough,2.0,0.0,2.0
Taunusstein,0.0,0.5,0.5
Longjumeau,1.0,0.5,0.5
al-Ubayyid,1.0,0.0,1.0
Beijing,195.0,57.5,30.5
Ruse,1.0,0.0,1.0
Maturín,21.0,7.0,1.0
Veracruz,7.0,2.5,0.5
Åland,39.0,13.5,2.5
Kretinga,1.0,0.5,0.5
Neiva,3.0,1.0,0.0
Puerto Cortés,12.0,2.5,0.5
Fukuroi,12.0,4.0,3.0
Centre de Flacq,0.0,0.0,2.0
Jūrmala,0.0,0.0,1.0
Salalah,3.0,1.5,0.5
Benguela,20.0,8.5,4.5
Prishtina,5.0,2.5,0.5
Limeil-Brévannes,2.0,1.0,0.0
St Gallen,1.0,1.0,0.0
Colombes,174.0,43.0,46.0
Paysandú,18.0,5.0,4.0
Veliko Tărnovo,1.0,1.0,0.0
Fukuoka,5.0,2.0,1.0
Aveiro,20.0,5.5,2.5
Salmiya,3.0,1.0,0.0
Grenoble,2.0,1.0,0.0
Secunda,1.0,1.0,7.0
Lisbon,227.0,80.0,36.0
San Fernando,85.0,33.0,16.0
Kingston upon Hull,1.0,0.5,0.5
São Luís,11.0,3.5,0.5
Leiria,27.0,9.0,4.0
San Antonio,15.0,6.5,2.5
Jastrzębie-Zdrój,1.0,1.0,0.0
Siófok,6.0,2.0,1.0
Güzelyurt,5.0,1.0,2.0
Aubervilliers,0.0,0.5,0.5
Wattens,1.0,1.0,1.0
Sivas,0.0,0.0,1.0
Christchurch,23.0,5.5,5.5
Alexandria,145.0,51.0,22.0
Coventry,1.0,0.5,0.5
Akureyri,6.0,2.0,0.0
Palmerston North,5.0,1.0,0.0
Chula Vista,1.0,0.0,1.0
Nova Gorica,2.0,0.0,2.0
Offenbach am Main,2.0,1.5,1.5
Atteridgeville,11.0,5.5,3.5
Franceville,26.0,14.5,10.5
Rajshahi,1.0,1.0,0.0
Stockholm,231.0,51.0,29.0
Tegucigalpa,223.0,94.0,43.0
Turku,17.0,8.5,6.5
Philadelphia,16.0,8.5,4.5
Rabat,156.0,60.0,15.0
Petaling Jaya,28.0,8.0,4.0
Kharkiv,17.0,7.0,4.0
George Town,94.0,26.5,35.5
Amman,300.0,128.0,90.0
Jubail,2.0,1.0,0.0
Strumica,8.0,3.0,1.0
Goyang,11.0,3.0,1.0
Askeran,8.0,3.0,2.0
Ivory Coast,4.0,2.0,0.0
Rwanda,1.0,1.0,1.0
Auckland,179.0,48.0,28.0
