date_played,home_team,away_team,home_score,away_score,city,country,Result
10/9/1911,Germany,Austria,1,2,Dresden,Germany,Austria
10/22/1911,Argentina,Uruguay,2,0,Buenos Aires,Argentina,Argentina
10/22/1911,Finland,Sweden,2,5,Helsinki,Finland,Sweden
10/29/1911,Germany,Sweden,1,3,Hamburg,Germany,Sweden
10/29/1911,Hungary,Switzerland,9,0,Budapest,Hungary,Hungary
10/29/1911,Luxembourg,France,1,4,Luxembourg,Luxembourg,France
10/29/1911,Uruguay,Argentina,3,0,Montevideo,Uruguay,Uruguay
11/5/1911,Hungary,Austria,2,0,Budapest,Hungary,Hungary
12/17/1911,Germany,Hungary,1,4,Munich,Germany,Hungary
1/28/1912,France,Belgium,1,1,Saint-Ouen,France,drawn
2/10/1912,Northern Ireland,England,1,6,Dublin,Republic of Ireland,England
2/10/1912,France,Catalonia,7,0,Paris,France,France
2/18/1912,France,Switzerland,4,1,Saint-Ouen,France,France
2/20/1912,Belgium,Switzerland,9,2,Antwerp,Belgium,Belgium
3/2/1912,Scotland,Wales,1,0,Edinburgh,Scotland,Scotland
3/10/1912,Belgium,Netherlands,1,2,Antwerp,Belgium,Netherlands
3/11/1912,Wales,England,0,2,Wrexham,Wales,England
3/16/1912,Northern Ireland,Scotland,1,4,Belfast,Republic of Ireland,Scotland
3/17/1912,Italy,France,3,4,Turin,Italy,France
3/23/1912,Scotland,England,1,1,Glasgow,Scotland,drawn
3/24/1912,Netherlands,Germany,5,5,Zwolle,Netherlands,drawn
4/13/1912,Wales,Northern Ireland,2,3,Cardiff,Wales,Northern Ireland
4/14/1912,Hungary,Germany,4,4,Budapest,Hungary,drawn
4/28/1912,Netherlands,Belgium,4,3,Dordrecht,Netherlands,Netherlands
5/5/1912,Austria,Hungary,1,1,Vienna,Austria,drawn
5/5/1912,Switzerland,Germany,1,2,St. Gallen,Switzerland,Germany
6/16/1912,Norway,Sweden,1,2,Kristiania,Norway,Sweden
6/20/1912,Sweden,Hungary,2,2,Gothenburg,Sweden,drawn
6/23/1912,Norway,Hungary,0,6,Kristiania,Norway,Hungary
6/27/1912,Sweden,Finland,7,1,Solna,Sweden,Sweden
7/3/1912,Norway,Russia,2,1,Stockholm,Sweden,Norway
7/12/1912,Russia,Hungary,0,9,Moscow,Russia,Hungary
7/14/1912,Russia,Hungary,0,12,Moscow,Russia,Hungary
8/15/1912,Uruguay,Argentina,2,0,Montevideo,Uruguay,Uruguay
8/25/1912,Uruguay,Argentina,3,0,Montevideo,Uruguay,Uruguay
9/22/1912,Argentina,Uruguay,0,1,Buenos Aires,Argentina,Uruguay
10/6/1912,Argentina,Uruguay,3,3,Avellaneda,Argentina,drawn
10/6/1912,Denmark,Germany,3,1,Copenhagen,Denmark,Denmark
11/3/1912,Hungary,Austria,4,0,Budapest,Hungary,Hungary
